clip,frame,player_id,player_label,foot_x,foot_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,pressure
gameRG/Clip1,0,1,player_bottom,767.4710693359375,917.82861328125,694.158935546875,695.765380859375,840.783203125,917.82861328125,0.8698877692222595,1
gameRG/Clip1,0,2,player_top,1183.6414794921875,311.21612548828125,1151.937255859375,222.08770751953125,1215.345703125,311.21612548828125,0.8654541373252869,1
gameRG/Clip1,1,1,player_bottom,761.8333129882812,916.4176635742188,689.0026245117188,695.4567260742188,834.6640014648438,916.4176635742188,0.7126914262771606,1
gameRG/Clip1,1,2,player_top,1183.186767578125,311.5366516113281,1151.51416015625,222.46031188964844,1214.8592529296875,311.5366516113281,0.8690856099128723,1
gameRG/Clip1,2,1,player_bottom,758.4425659179688,914.5333251953125,686.5416259765625,695.1438598632812,830.343505859375,914.5333251953125,0.7086589932441711,1
gameRG/Clip1,2,2,player_top,1183.017822265625,311.6400451660156,1151.2237548828125,222.1615753173828,1214.811767578125,311.6400451660156,0.8701177835464478,1
gameRG/Clip1,3,1,player_bottom,769.216552734375,914.8345336914062,697.6974487304688,696.242919921875,840.735595703125,914.8345336914062,0.8640334010124207,1
gameRG/Clip1,3,2,player_top,1182.968505859375,311.72222900390625,1151.0028076171875,221.66453552246094,1214.9342041015625,311.72222900390625,0.8714383244514465,1
gameRG/Clip1,4,1,player_bottom,771.8880615234375,915.1349487304688,700.3113403320312,695.626220703125,843.46484375,915.1349487304688,0.8840218782424927,1
gameRG/Clip1,4,2,player_top,1182.98583984375,311.7308044433594,1151.013427734375,221.54550170898438,1214.958251953125,311.7308044433594,0.8723124861717224,1
gameRG/Clip1,5,1,player_bottom,773.078125,914.4298706054688,701.1165771484375,691.8286743164062,845.0397338867188,914.4298706054688,0.8715993762016296,1
gameRG/Clip1,5,2,player_top,1182.99462890625,311.732177734375,1150.1304931640625,218.70883178710938,1215.858642578125,311.732177734375,0.8691082000732422,1
