clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
gameRG/Clip1,43,2.1078200170243173,12.036835514957307,1,1.0
gameRG/Clip1,132,5.155431665908926,6.6866306972249685,1,1.0
gameRG/Clip1,155,4.434913569774181,6.252324958053916,1,1.0
gameRG/Clip1,238,-0.35286569057805484,10.0843048916887,1,0.0
gameRG/Clip2,12,8.88169542775271,16.808466654580307,1,0.0
gameRG/Clip3,14,10.720444990497603,16.417940132199398,1,0.0
gameRG/Clip3,96,10.598254528401068,22.253670103926797,1,0.0
gameRG/Clip3,193,10.119255631827194,15.698290588530945,1,0.0
