clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
Dataset_Clutch/Clip1,132,5.155431665908926,6.6866306972249685,1,1.0
Dataset_Clutch/Clip4,128,3.934947193084493,2.193216566129667,1,1.0
Dataset_Clutch/Clip4,159,7.652738316574478,20.68290304670743,1,1.0
Dataset_Clutch/Clip4,168,8.063984839452196,19.600463980501168,1,1.0
Dataset_Clutch/Clip4,273,0.5399948812761025,2.505226995794723,1,1.0
Dataset_Clutch/Clip6,46,7.174406321927387,16.45421319492038,1,1.0
Dataset_Clutch/Clip6,336,-0.08446639943284547,1.671147191997495,1,1.0
Dataset_Clutch/Clip6,388,5.964347974746748,21.824849889407606,1,1.0
Dataset_Clutch/Clip7,160,6.290440972663126,23.987916198550305,1,1.0
Dataset_Clutch/Clip7,315,3.9606809003111856,23.263197094370323,1,1.0
Dataset_Clutch/Clip8,116,5.77937840834807,0.7760824115115181,1,1.0
Dataset_Clutch/Clip8,300,5.8647995990418,7.839936180456302,1,1.0
Dataset_Clutch/Clip8,358,7.518100641756368,2.2222277770645418,1,1.0
Dataset_Clutch/Clip8,480,2.0332902944798517,2.3089953690068463,1,1.0
Dataset_Clutch/Clip8,541,6.1419684508373855,16.64966891182318,1,1.0
Dataset_Clutch/Clip9,242,7.910787879376478,17.774636898142905,1,1.0
Dataset_Clutch/Clip9,271,8.362286618996404,22.037323532147713,1,1.0
Dataset_Clutch/Clip9,280,8.264682498164506,20.899294755919808,1,1.0
Dataset_Clutch/Clip9,342,7.311419852246282,4.439542943526684,1,1.0
Dataset_Clutch/Clip10,33,4.536139042675426,15.05577667741271,1,1.0
Dataset_Clutch/Clip10,60,2.2585199696949916,17.829506279618123,1,1.0
Dataset_Clutch/Clip10,129,6.4500131266730945,0.6873320147240456,1,1.0
Dataset_Clutch/Clip10,286,1.9577241091522095,0.2291803411415823,1,1.0
Dataset_Clutch/Clip11,138,3.7967006719311676,1.7740374115594963,1,1.0
Dataset_Clutch/Clip11,154,2.6709905249256654,1.3823323224510375,1,1.0
Dataset_Clutch/Clip12,205,2.954279928211896,2.730038349975654,1,1.0
Dataset_Clutch/Clip12,272,3.341751859233008,16.864327052604047,1,1.0
Dataset_Clutch/Clip13,203,6.629642191324335,23.000180273367892,1,1.0
Dataset_Clutch/Clip13,237,4.63898229241862,23.999924408482546,1,1.0
Dataset_Clutch/Clip13,513,2.8414948964326032,22.08166377761596,1,1.0
Dataset_Clutch/Clip13,640,7.950127131981165,16.262762664898258,1,1.0
Dataset_Clutch/Clip14,71,3.8108827548620776,15.236760956137921,1,1.0
Dataset_Clutch/Clip14,212,7.8757704835457725,21.809324157896498,1,1.0
Dataset_Clutch/Clip14,241,7.567471127380639,22.752347750847992,1,1.0
Dataset_Clutch/Clip14,287,3.3336374567939555,1.290974376656942,1,1.0
