00:49:50 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip12 | 13 tracks -> 2 seleccionados por movimiento
00:49:50 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip12 acumulado (762 filas) | presion punto: (1, 1).
00:49:50 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip13 | 650 frames | 1920x1080
00:50:22 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip13 | 15 tracks -> 2 seleccionados por movimiento
00:50:22 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip13 acumulado (1300 filas) | presion punto: (0, 1).
00:50:22 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip14 | 400 frames | 1920x1080
00:50:42 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip14 | 10 tracks -> 2 seleccionados por movimiento
00:50:42 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip14 acumulado (800 filas) | presion punto: (0, 0).
00:50:42 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip15 | 100 frames | 1920x1080
00:50:47 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip15 | 8 tracks -> 2 seleccionados por movimiento
00:50:47 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip15 acumulado (200 filas) | presion punto: (0, 1).
00:50:47 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip16 | 350 frames | 1920x1080
00:51:04 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip16 | 11 tracks -> 2 seleccionados por movimiento
00:51:04 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip16 acumulado (700 filas) | presion punto: (0, 0).
00:51:04 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip17 | 250 frames | 1920x1080
00:51:17 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip17 | 9 tracks -> 2 seleccionados por movimiento
00:51:17 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip17 acumulado (500 filas) | presion punto: (0, 0).
00:51:17 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip18 | 450 frames | 1920x1080
00:51:39 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip18 | 11 tracks -> 2 seleccionados por movimiento
00:51:39 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip18 acumulado (900 filas) | presion punto: (0, 0).
00:51:39 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip19 | 150 frames | 1920x1080
00:51:46 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip19 | 10 tracks -> 2 seleccionados por movimiento
00:51:46 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip19 acumulado (300 filas) | presion punto: (0, 0).
00:51:46 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip20 | 441 frames | 1920x1080
00:52:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip20 | 13 tracks -> 2 seleccionados por movimiento
00:52:08 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip20 acumulado (882 filas) | presion punto: (0, 0).
